ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,peakabs,duration,rise,fade,type,redshift,b,A_V
ZTF22abdtpru,SN2022ssh,02:01:05.95,+15:19:17.2,1828.98,g,18.7609,-18.95,18.777,6.966,11.811,SN Ia,0.073,-44.30855165,0.162
ZTF22aaknfly,SN2022kla,16:44:33.15,+38:55:03.2,1736.85,r,17.8095,-18.25,17.2,10.053,7.147,SN Ia,0.03711,40.58209618,0.041
ZTF19abuzpmr,SN2019pmo,07:20:37.71,+52:46:23.6,736.01,r,18.5372,-18.89,29.62,7.229,22.391,SN Ia,0.065,25.5608368,0.205
ZTF19acjuomg,SN2019tst,18:33:37.63,+59:31:30.2,795.64,g,18.8544,-19.64,20.248,8.934,11.314,SN Ia,0.106,25.34294701,0.123
ZTF23abjpcza,SN2023uvj,03:19:25.36,+43:14:08.8,2238.86,r,18.4912,-18.70,20.036,7.184,12.852,SN Ia,0.052,-11.85897192,0.501
ZTF21aaufvpg,SN2021jap,10:55:03.97,-08:44:44.9,1328.69,g,17.0359,-18.66,25.583,7.895,17.688,SN Ia,0.03,44.37275064,0.108
ZTF23abvdonl,SN2023aaih,08:30:55.69,-03:51:50.7,2314.91,g,17.3799,-19.02,15.866,5.765,10.101,SN Ia,0.04144,20.04452415,0.106
ZTF21aazfmxb,SN2021lhz,21:19:09.32,+35:50:11.1,1349.96,r,18.0391,-19.13,24.936,10.17,14.766,SN Ia,0.053,-9.58633514,0.428
ZTF21aaygkfw,SN2021lwm,22:05:42.22,+34:40:49.1,1346.94,r,18.9971,-19.41,36.504,17.511,18.993,SN Ia,0.09,-16.81284198,0.512
ZTF19acuybzx,SN2019wch,06:40:37.24,+26:42:32.1,827.79,r,17.8674,-17.99,23.762,12.095,11.667,SN Ia,0.03,9.63884806,0.347
ZTF21abwfnru,SN2021xeo,16:23:19.27,+52:31:45.0,1468.66,g,17.7499,-19.24,25.344,8.63,16.714,SN Ia,0.055,43.46896225,0.079
ZTF21abwxaht,SN2021xqc,21:49:32.03,+26:51:09.1,1469.7,r,18.4577,-18.71,17.033,5.934,11.099,SN Ia,0.058,-20.53668837,0.189
ZTF22abiymsf,SN2022wcv,00:50:29.21,-22:41:59.9,1860.79,g,18.5844,-19.44,36.869,9.504,27.365,SN Ia,0.09,-85.56647505,0.04
ZTF18abspqsn,SN2018gdl,00:41:44.60,+51:37:51.4,385.77,r,16.4667,-19.93,24.487,10.232,14.255,SN Ia,0.034,-11.21177199,0.671
ZTF20aavfwdo,SN2020hvy,14:09:08.40,+65:48:06.9,973.79,r,17.8694,-19.52,23.441,11.337,12.104,SN Ia,0.0678,49.46010739,0.042
ZTF18adbadqp,SN2018lbi,14:12:41.87,+18:43:33.6,488.01,g,18.4214,-19.38,32.825,13.086,19.739,SN Ia,0.08,69.52711829,0.07
ZTF19acsfvog,SN2019uxp,00:35:20.03,-02:51:04.7,814.67,r,17.7646,-19.40,25.939,12.25,13.689,SN Ia,0.06,-65.41911146,0.098
ZTF19aaphifl,SN2019dhw,17:16:59.12,-02:49:13.0,591.94,r,18.4715,-18.85,32.545,10.871,21.674,SN Ia,0.0285,19.48909064,2.246
ZTF19acchjle,SN2019rsx,03:47:10.86,-10:59:40.7,775.88,g,17.8128,-19.84,24.751,12.096,12.655,SN Ia,0.072,-45.73317448,0.136
ZTF20aaxxhib,SN2020ith,21:38:54.77,+32:50:07.0,981.95,r,18.9657,-18.79,23.346,8.898,14.448,SN Ia,0.07,-14.58713626,0.401
ZTF23abnkwpb,SN2023vwr,23:20:52.32,-04:11:36.3,2254.67,g,17.6348,-19.61,21.313,7.845,13.468,SN Ia,0.06,-58.48922502,0.137
ZTF20acoykif,SN2020ywf,23:13:45.69,+14:55:08.2,1169.73,g,18.6992,-19.38,24.641,11.728,12.913,SN Ia,0.086,-41.73319734,0.169
ZTF21abhtlrj,SN2021rde,19:10:23.92,+77:48:25.5,1399.81,g,18.9061,-19.73,23.512,11.511,12.001,SN Ia,0.111,25.47815626,0.163
ZTF18aaxkfos,SN2018cdv,10:41:21.11,+45:40:13.3,279.7,g,18.2406,-19.40,25.544,10.664,14.88,SN Ia,0.075,58.27359437,0.055
ZTF20acvchhw,SN2020abpu,23:36:00.81,+46:45:00.1,1204.63,r,18.4777,-18.37,27.537,14.557,12.98,SN Ia,0.046,-14.17889343,0.422
ZTF21acjjxww,SN2021actt,05:03:36.21,+04:56:36.1,1523.85,g,18.4877,-19.49,25.506,8.479,17.027,SN Ia,0.08217,-21.26480407,0.164
ZTF19acbykmk,SN2019rqo,00:14:56.46,-23:28:53.8,769.84,r,17.855,-19.32,36.006,9.148,26.858,SN Ia,0.061,-80.984744,0.063
ZTF18aawjywv,SN2018ccj,17:55:00.05,+42:53:54.0,272.89,g,17.7016,-18.58,20.477,8.517,11.96,SN Ia,0.04,27.99036253,0.073
ZTF21abjpphz,SN2021seh,16:20:04.15,+05:02:54.2,1415.69,r,18.6427,-19.43,25.064,13.032,12.032,SN Ia,0.088,35.7327469,0.177
ZTF21acidhhs,SN2021abzu,09:59:44.00,+49:19:41.6,1520.97,r,18.6453,-19.01,26.143,14.14,12.003,SN Ia,0.07691,50.40413434,0.028
ZTF19aavnwxf,SN2019gci,12:39:35.56,+45:22:37.8,641.69,g,17.4385,-19.17,20.68,6.118,14.562,SN Ia,0.0469,71.59908492,0.057
ZTF20acynllu,SN2020adeq,01:13:05.64,-18:07:03.6,1211.61,g,17.8106,-19.05,19.636,7.605,12.031,SN Ia,0.053,-79.70035247,0.045
ZTF18aamigmk,SN2018aye,17:57:40.25,+50:02:19.1,245.95,g,15.6902,-18.77,25.258,11.512,13.746,SN Ia,0.017,28.84093826,0.115
ZTF18adatosi,SN2018lla,05:58:17.00,+05:48:16.8,490.73,r,18.4327,-19.27,29.004,13.856,15.148,SN Ia,0.03829,-9.05617599,1.921
ZTF20aakndsn,SN2020bjh,10:16:57.64,-25:10:52.0,878.88,g,16.9529,-19.55,23.458,4.344,19.114,SN Ia,0.04212,25.80197488,0.164
ZTF21acaeoms,SN2021ypc,06:58:58.89,+35:25:30.6,1478.0,r,18.0424,-18.26,30.537,21.192,9.345,SN Ia,0.039,16.74867532,0.197
ZTF19aaoikti,SN2019cyy,12:03:00.57,+38:16:26.7,584.77,g,18.3924,-19.34,23.057,6.086,16.971,SN Ia,0.07868,74.92755421,0.045
ZTF22aahebcu,SN2022ibc,13:50:15.52,+57:48:01.9,1711.72,g,16.3168,-20.00,25.614,13.519,12.095,SN Ia,0.042,57.62550276,0.013
ZTF18adaifep,SN2018koy,05:41:13.75,-13:13:27.1,491.74,r,17.2126,-18.74,30.131,13.905,16.226,SN Ia,0.031,-21.44403684,0.376
ZTF21abaaipx,SN2021lrp,21:09:16.31,+05:49:34.1,1352.96,g,18.63,-19.25,25.441,9.464,15.977,SN Ia,0.073,-27.04391003,0.305
ZTF18acnbenl,SN2018itn,11:19:59.81,+61:58:55.0,450.97,g,18.1857,-19.10,23.092,11.705,11.387,SN Ia,0.065,51.97836236,0.021
ZTF19abwsecm,SN2019pmd,03:18:23.79,-01:55:49.6,741.94,r,16.5664,-18.52,25.758,9.055,16.703,SN Ia,0.02201,-46.73218096,0.234
ZTF21aaabvjk,SN2021K,13:47:10.69,+34:05:21.3,1225.98,g,15.0849,-19.24,24.163,10.305,13.858,SN Ia,0.01638,76.15273172,0.068
ZTF19aanircs,SN2019cnb,16:23:55.46,+53:24:12.4,583.91,g,17.8176,-19.32,33.18,11.146,22.034,SN Ia,0.06,43.19688869,0.048
ZTF20aaxablt,SN2020ipb,10:52:35.30,+25:07:05.2,985.69,g,17.7094,-19.71,34.372,12.764,21.608,SN Ia,0.064,63.30861443,0.16
ZTF20abchhuw,SN2020lfe,23:48:18.22,+33:08:56.2,1014.97,r,17.1635,-18.53,27.351,15.027,12.324,SN Ia,0.03,-27.88559068,0.158
ZTF23abcegjv,SN2023seg,17:42:49.60,+18:39:29.4,2214.7,r,18.3544,-18.89,20.9,13.105,7.795,SN Ia,0.06,23.23866159,0.189
ZTF20abxrsjb,SN2020sgh,18:26:10.93,+34:26:15.2,1099.67,g,18.5658,-19.03,28.643,7.601,21.042,SN Ia,0.07,19.79087131,0.146
ZTF23abnmdqn,SN2023vwq,05:58:09.15,+53:28:50.1,2258.93,r,17.119,-19.20,33.278,11.528,21.75,SN Ia,0.035,14.14772085,0.506
ZTF18abskove,SN2018gfg,20:59:09.73,-14:15:47.1,378.73,r,18.8904,-18.97,21.455,13.728,7.727,SN Ia,0.082,-34.64888034,0.106
ZTF23aaphpnk,SN2023lwc,14:53:18.36,+38:12:50.4,2134.74,g,17.5244,-19.33,24.879,10.85,14.029,SN Ia,0.053,62.22538524,0.037
ZTF21acjurqj,SN2021acts,09:15:31.52,+79:23:10.7,1525.01,g,18.4071,-19.62,34.472,8.725,25.747,SN Ia,0.089,32.99643489,0.059
ZTF20aaerxsd,SN2020py,14:00:54.26,+45:28:21.5,872.95,g,17.8358,-19.01,22.641,11.002,11.639,SN Ia,0.0533,67.0333668,0.022
ZTF21achaudk,SN2021abbg,19:52:32.15,-10:09:44.2,1512.65,r,17.653,-19.27,22.971,11.586,11.385,SN Ia,0.0455,-18.13358177,0.542
ZTF19accstol,SN2019sew,08:14:06.43,+04:56:07.9,770.98,r,18.7466,-19.11,16.907,9.018,7.889,SN Ia,0.083,20.62073125,0.063
ZTF21abdlrpr,SN2021ooe,14:26:17.73,+73:21:19.4,1382.9,g,17.9715,-19.36,20.904,10.027,10.877,SN Ia,0.065,42.08850822,0.06
ZTF21aavheiv,SN2021kcu,15:24:25.85,+70:19:40.4,1334.87,r,18.0112,-18.85,38.079,10.904,27.175,SN Ia,0.053,41.65632631,0.058
ZTF19aapszzy,SN2019dkx,14:52:30.09,+37:03:43.6,596.94,g,17.8757,-19.59,22.108,8.706,13.402,SN Ia,0.07,62.64859245,0.039
ZTF18acsremz,SN2021hmc,09:54:30.59,+53:10:08.6,1316.82,g,16.163,-19.04,23.201,10.275,12.926,SN Ia,0.02513,48.35221587,0.023
ZTF19aartuli,SN2019dzo,12:55:37.99,-16:45:01.0,607.8,g,17.2492,-19.62,24.659,6.23,18.429,SN Ia,0.05,46.1096205,0.152
ZTF23abgkmxh,SN2023tth,03:50:19.70,+27:17:50.3,2222.88,r,18.5599,-19.03,21.303,9.364,11.939,SN Ia,0.069,-20.65974188,0.244
ZTF21achqzub,SN2021abew,23:25:31.86,+18:22:26.6,1510.77,g,17.6898,-18.68,22.075,7.254,14.821,SN Ia,0.04,-39.95865949,0.149
ZTF20aawqywr,SN2020ilb,09:41:03.93,+34:44:01.0,981.73,r,17.7155,-18.99,23.851,10.54,13.311,SN Ia,0.0499,48.85558124,0.032
ZTF19acaxcwg,SN2019rhj,23:46:16.03,+18:11:36.7,764.86,g,17.1188,-19.12,26.063,7.64,18.423,SN Ia,0.037,-42.00297466,0.183
ZTF19adcdzjm,SN2019zab,11:58:33.08,+30:39:24.2,860.87,r,18.66,-19.14,25.56,13.392,12.168,SN Ia,0.0811,77.90740783,0.058
ZTF19acyiqnw,SN2019wwa,12:52:48.13,+80:19:24.9,838.0,g,16.5881,-19.35,30.159,6.322,23.837,SN Ia,0.033,36.80461713,0.138
ZTF21achaubw,SN2021aaqc,19:51:14.30,-07:05:47.3,1502.7,r,18.3964,-19.42,23.036,9.007,14.029,SN Ia,0.064,-16.50919471,0.707
ZTF19abvjcii,SN2019pny,17:11:52.90,+72:25:15.9,739.65,r,18.3852,-18.66,10.892,6.86,4.032,SN Ia,0.056,33.21735539,0.137
ZTF19acdgwhq,SN2017gcd,02:56:08.46,+15:12:47.0,785.79,r,17.7568,-17.95,23.202,11.519,11.683,SN Ia,0.02859,-37.96056558,0.294
ZTF21acchwaw,SN2021zgw,01:05:29.15,+41:00:57.3,1488.83,r,18.8912,-19.19,25.095,11.042,14.053,SN Ia,0.089,-21.77787707,0.155
ZTF22aaolvwv,SN2022njv,22:46:30.88,-01:15:39.5,1763.94,g,17.1956,-19.24,25.612,9.83,15.782,SN Ia,0.04,-50.4316655,0.198
ZTF18aaxvpsw,SN2018cof,14:59:54.39,+39:04:43.6,288.73,g,18.6502,-19.41,23.915,11.003,12.912,SN Ia,0.0916,60.7619007,0.034
ZTF19acdjiml,SN2019scw,08:59:45.20,+38:51:34.3,769.97,r,18.7567,-19.52,25.021,7.724,17.297,SN Ia,0.1,40.85488781,0.076
ZTF20aavrloz,SN2020hyi,14:38:57.91,+51:04:57.7,975.75,g,17.4884,-18.93,19.198,9.16,10.038,SN Ia,0.04332,58.58953163,0.044
ZTF19aaillan,SN2019arf,13:26:07.23,+15:43:31.4,526.95,g,17.8706,-19.62,27.718,5.615,22.103,SN Ia,0.07,76.04139486,0.06
ZTF20acpcuwx,SN2020yxd,02:09:13.68,+33:02:38.1,1169.79,r,17.7342,-19.16,19.912,7.69,12.222,SN Ia,0.05,-27.05401682,0.253
ZTF18aczemzj,SN2018ktx,14:37:33.44,+08:04:43.9,482.04,r,18.1416,-18.60,19.518,8.192,11.326,SN Ia,0.05,58.47952649,0.073
ZTF18abdgwxn,SN2018dcm,17:25:41.49,+23:52:08.7,305.8,g,18.704,-18.71,18.74,7.497,11.243,SN Ia,0.0638,28.81361087,0.157
ZTF20aasapko,SN2020dxl,07:20:56.72,+39:51:58.4,917.71,g,18.517,-19.10,25.997,5.036,20.961,SN Ia,0.07,22.33327543,0.16
ZTF21aalinof,SN2021dch,13:05:23.76,+29:30:34.6,1272.9,g,16.2841,-18.45,25.24,7.267,17.973,SN Ia,0.02016,86.11364594,0.031
ZTF20acfnuee,SN2020ukg,22:31:36.47,+02:30:06.7,1128.78,g,18.1929,-19.15,18.088,6.878,11.21,SN Ia,0.06,-45.13838391,0.217
ZTF21abvrlup,SN2021xae,21:32:47.95,-08:28:47.6,1469.69,r,18.938,-19.25,27.156,15.322,11.834,SN Ia,0.095,-39.57243828,0.103
ZTF19abuazly,SN2019pjz,22:19:18.80,+10:39:56.0,736.81,g,18.6696,-19.28,22.944,7.847,15.097,SN Ia,0.08,-37.19422371,0.192
ZTF23aalsied,SN2023jje,18:16:04.40,+75:03:04.2,2100.7,g,18.3415,-19.32,24.867,9.683,15.184,SN Ia,0.07,28.41403672,0.195
ZTF18abdfwur,SN2018eps,16:20:43.15,+65:38:20.8,308.7,g,18.4135,-19.10,20.317,7.74,12.577,SN Ia,0.07,39.77532992,0.071
ZTF22aaeaqmz,SN2022gpw,10:47:42.19,+54:24:41.5,1685.83,g,18.0549,-19.32,24.023,8.011,16.012,SN Ia,0.067,54.59550976,0.037
ZTF20abjwuju,SN2020ocw,18:31:33.82,+31:01:30.3,1050.78,r,18.9367,-19.06,24.698,14.957,9.741,SN Ia,0.08,17.52225771,0.34
ZTF21ackbbfs,SN2021adcr,21:58:03.24,-18:10:17.7,1532.67,g,17.4282,-19.16,25.969,7.985,17.984,SN Ia,0.045,-49.21305008,0.114
ZTF19abidfsb,SN2019mal,23:09:06.58,-17:40:27.1,708.0,r,18.89,-18.99,32.284,17.117,15.167,SN Ia,0.083,-64.59367246,0.096
ZTF22aawdqfp,SN2022ppj,00:49:23.76,+19:59:47.4,1801.92,g,17.0931,-19.02,23.77,9.785,13.985,SN Ia,0.037,-42.8725631,0.079
ZTF19abvalfd,SN2019pfe,16:03:51.70,+39:59:07.6,744.62,r,16.8834,-18.81,21.925,13.221,8.704,SN Ia,0.03144,48.44906349,0.038
ZTF20acuoclk,SN2020abqd,08:16:16.75,+37:24:13.8,1193.93,g,18.7349,-19.21,20.115,8.497,11.618,SN Ia,0.082,32.1921451,0.145
ZTF20abhrmxh,SN2020njr,00:44:42.94,+46:44:49.1,1030.98,r,18.5657,-19.05,19.61,7.11,12.5,SN Ia,0.066,-16.10902131,0.39
ZTF18abrzeym,SN2018ftt,17:36:27.05,+22:29:26.0,373.65,r,18.4246,-18.69,19.487,9.493,9.994,SN Ia,0.056,26.02124853,0.216
ZTF18aaxokeg,SN2019ejo,13:01:55.30,+22:46:16.6,616.67,r,17.7061,-18.15,27.39,10.351,17.039,SN Ia,0.0336,85.03748517,0.056
ZTF21aasyzkt,SN2021iqt,11:11:03.36,+55:07:50.9,1328.82,g,18.3904,-18.80,24.072,12.256,11.816,SN Ia,0.062,56.60517183,0.029
ZTF23aaemgsd,SN2023exm,11:13:35.91,-14:47:37.2,2054.78,r,16.1839,-18.95,22.221,9.059,13.162,SN Ia,0.023,41.82272881,0.176
ZTF18aayjyub,SN2018cod,13:20:27.97,+62:18:02.9,294.71,g,17.1163,-18.53,27.548,11.871,15.677,SN Ia,0.03,54.49927769,0.068
ZTF19aauxmqj,SN2019fxs,16:42:31.49,+78:56:01.6,628.95,g,18.03,-19.53,20.14,5.289,14.851,SN Ia,0.07,32.58902403,0.113
ZTF23aanxepa,SN2023ktu,15:45:35.39,+05:12:56.9,2123.75,g,18.0675,-19.44,24.163,11.424,12.739,SN Ia,0.067,43.15309181,0.15
ZTF18acspjqd,SN2018joo,07:17:31.10,+37:41:49.2,471.77,r,18.4265,-19.47,32.858,16.473,16.385,SN Ia,0.08,21.02607403,0.209
ZTF21aapjcqb,SN2021fwy,13:06:41.38,+09:19:54.3,1303.86,g,18.3225,-19.19,25.079,10.075,15.004,SN Ia,0.07,71.84253973,0.076
ZTF22abfskre,SN2022trc,01:15:03.09,+14:05:08.3,1842.88,r,18.3682,-18.80,27.734,11.774,15.96,SN Ia,0.06,-48.38952464,0.104
ZTF21aakzmaq,SN2021ddh,08:39:29.11,-01:24:29.0,1273.78,g,17.6917,-18.38,27.088,9.104,17.984,SN Ia,0.036,23.13400092,0.093
ZTF20aalejtl,SN2020bqr,07:56:02.83,+33:47:13.7,895.67,g,18.0975,-19.27,26.235,11.303,14.932,SN Ia,0.0629,27.34517842,0.152
ZTF18abywcnl,SN2018gui,19:40:06.74,+66:53:05.2,423.6,r,17.0822,-18.37,55.182,36.812,18.37,SN Ia,0.025,20.22635263,0.347
ZTF22aallgci,SN2022kyn,22:05:38.81,-10:40:45.3,1742.9,r,18.228,-19.54,25.319,15.105,10.214,SN Ia,0.079,-47.73496917,0.096
ZTF23aaucaqp,SN2023nzg,15:37:00.63,+46:28:23.0,2161.78,g,18.3995,-19.37,22.598,9.563,13.035,SN Ia,0.08,52.22547546,0.039
ZTF23aaintny,SN2023hpo,12:15:14.79,+68:58:00.4,2076.79,g,17.9142,-19.41,21.46,6.263,15.197,SN Ia,0.065,47.82132442,0.052
ZTF20aarbget,SN2020dko,13:39:57.06,+00:49:41.4,915.98,g,15.9777,-19.05,23.863,4.759,19.104,SN Ia,0.0225,61.23756452,0.076
ZTF19abhdlxp,SN2019lmq,01:58:57.84,-02:58:35.5,696.97,r,18.2862,-18.46,24.474,13.869,10.605,SN Ia,0.05,-60.94625954,0.073
ZTF18acyawjf,SN2018ktc,10:51:46.11,-06:53:08.9,482.02,r,18.9638,-18.52,23.105,10.164,12.941,SN Ia,0.07,45.32935911,0.076
ZTF19abxtdgh,SN2019pzr,02:30:59.36,+22:24:04.2,749.8,r,17.2597,-19.70,24.361,10.286,14.075,SN Ia,0.04769,-34.93463688,0.46
ZTF22abbkhja,SN2022rmp,07:27:10.43,+33:50:06.5,1822.0,r,16.3518,-19.03,36.736,4.826,31.91,SN Ia,0.026,21.63549253,0.159
ZTF18ablongw,SN2018fae,17:30:42.75,+62:49:51.9,349.74,r,18.904,-18.93,26.798,13.855,12.943,SN Ia,0.08181,33.08441983,0.076
ZTF21aaaovua,SN2021by,15:19:27.56,+06:13:53.5,1222.0,g,18.8783,-19.40,41.439,14.47,26.969,SN Ia,0.097,49.11476429,0.109
ZTF19acgcdas,SN2019sys,03:01:25.31,+04:14:21.6,784.88,r,18.5212,-19.26,35.121,15.263,19.858,SN Ia,0.07,-45.63332102,0.426
ZTF21abzkgvc,SN2021yhs,04:05:04.61,-01:57:27.6,1479.91,r,18.6344,-19.89,21.674,12.385,9.289,SN Ia,0.098,-37.30124972,0.43
ZTF21aacxung,SN2021yr,08:34:11.36,+55:48:42.3,1232.89,g,18.0113,-18.68,21.156,5.295,15.861,SN Ia,0.04611,36.43888194,0.152
ZTF21aaeoxfd,SN2021apk,12:18:08.86,-04:25:22.7,1249.91,r,18.9938,-18.80,27.767,21.956,5.811,SN Ia,0.08,57.43985695,0.087
ZTF22abyaood,SN2022achj,08:58:48.01,+17:08:19.3,1928.98,r,17.5518,-19.13,25.379,9.191,16.188,SN Ia,0.04873,35.66484879,0.069
ZTF21abpjpxr,SN2021uwa,22:23:41.00,+19:44:06.1,1435.9,g,18.7483,-19.39,23.804,8.557,15.247,SN Ia,0.09,-31.03715138,0.13
ZTF23aaapokf,AT2023aaz,11:36:03.39,+45:25:20.5,1985.89,r,17.1857,-19.56,45.758,15.304,30.454,SN Ia,0.05,66.3443077,0.074
ZTF22aajrjrc,SN2022jth,11:06:19.62,+31:11:02.8,1723.68,r,18.1169,-18.47,17.68,11.196,6.484,SN Ia,0.04643,66.75312416,0.082
ZTF20abefbiq,SN2020mnw,14:56:21.07,+09:20:09.8,1019.76,g,18.5921,-19.28,20.573,8.164,12.409,SN Ia,0.0808,55.581112,0.107
ZTF22abbmgdo,SN2022rnz,18:48:32.88,+36:02:23.1,1821.68,g,18.5303,-19.13,23.228,9.043,14.185,SN Ia,0.07,16.10231261,0.199
ZTF19aavlnjz,SN2019gcu,14:10:02.58,+04:25:47.3,633.75,g,18.6971,-19.24,35.04,10.645,24.395,SN Ia,0.085,60.55963414,0.069
ZTF20acsdykp,SN2020aaxd,08:19:27.21,+02:06:05.1,1184.93,g,18.9538,-19.36,22.966,9.949,13.017,SN Ia,0.1,20.4840849,0.086
ZTF21abwcnpe,SN2021xjl,01:41:15.86,+23:13:27.4,1464.91,r,18.8497,-19.87,29.911,11.858,18.053,SN Ia,0.108,-38.22910097,0.403
ZTF23aadwitm,SN2023eci,10:21:25.76,+24:30:31.7,2046.77,g,18.1386,-19.26,21.209,10.227,10.982,SN Ia,0.067,56.26298531,0.056
ZTF22aavakpj,SN2022pot,23:52:40.11,-17:12:23.0,1793.94,g,18.3585,-19.30,26.218,10.272,15.946,SN Ia,0.075,-73.18516128,0.068
ZTF19acyflhv,SN2019wmk,05:08:20.88,+07:49:15.5,830.81,r,18.7127,-19.39,31.014,16.324,14.69,SN Ia,0.08,-18.74246062,0.466
ZTF19aburnqh,SN2019phs,06:35:03.56,+62:58:10.1,738.95,g,17.4486,-18.95,18.357,7.72,10.637,SN Ia,0.038,22.16626026,0.262
ZTF20aazhzna,SN2020jsa,14:24:23.95,+26:41:22.9,997.79,r,18.0404,-18.00,26.223,12.724,13.499,SN Ia,0.0365,69.30087734,0.059
ZTF21abahyyj,SN2021luy,17:29:49.62,+15:07:05.7,1361.88,r,18.7862,-19.12,26.016,15.834,10.182,SN Ia,0.08,24.73702652,0.229
ZTF21aadtkki,SN2021aid,00:15:31.11,+46:57:52.1,1252.68,r,17.5584,-19.14,26.861,17.094,9.767,SN Ia,0.045,-15.46413154,0.294
ZTF19aaojnrx,SN2019cyz,13:18:40.10,+01:54:50.8,586.83,r,18.1055,-18.68,24.082,8.101,15.981,SN Ia,0.0508,63.95511839,0.077
ZTF18abxyudf,SN2018gvk,22:01:25.60,+10:38:55.1,400.73,r,18.2973,-20.23,35.309,13.132,22.177,SN Ia,0.11,-34.0958314,0.131
ZTF20acowata,SN2020yuz,04:35:13.08,-01:06:54.5,1167.85,r,18.49,-19.32,33.212,10.535,22.677,SN Ia,0.08,-30.47494271,0.113
ZTF18aawurud,SN2018eaz,18:42:55.23,+50:39:33.6,332.81,r,17.769,-19.04,29.558,15.487,14.071,SN Ia,0.05,21.93902768,0.153
ZTF22abnqomh,SN2022ydr,17:38:56.78,+74:49:48.4,1887.64,r,17.1323,-18.11,16.765,10.846,5.919,SN Ia,0.02493,30.83317736,0.104
ZTF20abpglei,SN2020qld,19:09:14.90,+41:03:10.8,1072.65,r,18.4642,-18.69,24.093,11.942,12.151,SN Ia,0.055,14.32189859,0.318
ZTF20aboytzr,SN2020qjy,15:32:43.15,+27:31:18.6,1069.68,g,17.6652,-19.81,26.046,9.065,16.981,SN Ia,0.0678,54.33864774,0.099
ZTF19abcndvf,SN2019jwp,12:37:05.83,+41:41:31.3,677.7,r,17.7661,-18.91,24.384,11.4,12.984,SN Ia,0.0487,75.14288262,0.066
ZTF20aaactgu,SN2020G,01:37:12.23,+40:21:57.7,871.6,r,18.057,-19.33,26.732,15.982,10.75,SN Ia,0.065,-21.67232912,0.146
ZTF20acuzfpk,SN2020abqy,05:13:33.66,-19:30:05.7,1200.71,g,17.7699,-19.35,25.664,10.467,15.197,SN Ia,0.057,-29.98091054,0.125
ZTF22abvaggn,SN2022abcg,07:48:21.63,+18:38:18.1,1914.9,r,18.2333,-18.27,25.69,9.09,16.6,SN Ia,0.044,20.67332645,0.124
ZTF20aagzchj,SN2020ajg,02:13:59.87,+18:08:50.0,885.64,r,17.0576,-19.92,24.937,11.169,13.768,SN Ia,0.05,-40.49744669,0.353
ZTF19aawbsek,SN2019gkk,17:04:49.60,-08:20:55.4,637.81,r,18.1654,-18.87,32.226,10.071,22.155,SN Ia,0.02835,19.19572483,1.917
ZTF19aaoaaap,SN2019cqz,07:42:01.79,+73:15:38.2,587.69,g,18.6207,-19.69,27.103,11.391,15.712,SN Ia,0.1,29.52415205,0.084
ZTF19aaljeup,SN2019bij,08:07:50.73,+00:31:48.4,543.73,g,18.6009,-19.37,34.299,10.473,23.826,SN Ia,0.085,17.18480655,0.1
ZTF20ablnjvp,SN2020oye,16:32:52.26,+13:30:11.7,1057.76,g,17.8179,-19.22,28.781,9.717,19.064,SN Ia,0.0538,36.75507053,0.165
ZTF19aanmeyw,SN2019cjq,16:17:27.52,+00:59:12.1,577.94,r,18.2983,-18.97,35.402,15.443,19.959,SN Ia,0.06,34.17609938,0.225
ZTF20aamttmo,SN2020cpb,17:08:19.09,+18:17:58.4,905.05,g,17.8273,-19.10,23.272,11.111,12.161,SN Ia,0.05,30.7083004,0.203
ZTF23aaxbxlw,SN2023pil,00:34:05.11,+48:06:17.3,2182.95,r,18.5538,-18.99,22.32,10.384,11.936,SN Ia,0.063,-14.66592523,0.418
ZTF21abhkeak,SN2021qoo,00:00:10.35,+38:24:19.6,1393.95,r,17.9573,-19.57,31.143,15.612,15.531,SN Ia,0.065,-23.37706214,0.326
ZTF19adbnfne,SN2019zrg,02:05:49.22,+27:50:44.9,859.59,g,17.8449,-19.48,22.045,6.991,15.054,SN Ia,0.06,-32.19902534,0.198
ZTF21aciqppd,SN2021abza,18:31:37.10,+30:54:37.0,1520.7,r,16.9225,-19.61,23.579,9.455,14.124,SN Ia,0.04106,17.46904308,0.339
ZTF21aaetnfe,SN2021akl,12:59:41.91,-05:25:27.9,1249.94,g,17.0263,-19.26,20.086,6.945,13.141,SN Ia,0.04,57.3860219,0.081
ZTF19abimkwn,SN2019lvi,22:24:46.54,+43:32:58.7,699.93,g,17.5403,-20.03,25.638,7.607,18.031,SN Ia,0.059,-11.72675077,0.434
ZTF19aadnxcw,SN2019wl,11:55:12.21,+49:26:38.9,511.95,g,17.5499,-19.39,22.412,8.016,14.396,SN Ia,0.05426,65.19942657,0.065
ZTF21abvcarc,SN2021wwg,23:11:12.72,+16:52:47.6,1463.83,r,17.0903,-18.17,19.497,8.524,10.973,SN Ia,0.02260,-39.72415946,0.379
ZTF22aaffaah,SN2022haz,10:03:15.31,+15:21:32.7,1685.82,g,18.1397,-19.62,31.274,4.567,26.707,SN Ia,0.07749,49.29578231,0.091
ZTF22aagzcai,SN2022hvo,10:18:56.68,+62:15:17.9,1701.84,g,18.161,-19.31,24.506,11.317,13.189,SN Ia,0.07074,46.84457194,0.022
